transaction_id,product_id,customer_id,transaction_date,quantity_kg,unit_price_usd,total_amount_usd,region,sales_channel
T079,P009,C039,2024-07-22,33.5,185.00,6197.50,APAC,Direct
T080,P010,C040,2024-07-25,21.5,195.00,4192.50,APAC,Distributor
T081,P011,C001,2024-07-28,46.0,170.00,7820.00,LATAM,Direct
T082,P012,C002,2024-07-30,27.0,205.00,5535.00,EMEA,Distributor
T083,P013,,2024-08-02,34.5,160.00,5520.00,North America,Direct
T084,P014,C004,2024-08-05,30.5,180.00,5490.00,EMEA,Direct
T085,P001,C005,2024-08-08,21.5,150.00,3225.00,EMEA,Direct
T086,P002,C006,2024-08-10,38.0,200.00,7600.00,North America,Distributor
T087,P003,C007,2024-08-12,18.0,180.00,3240.00,APAC,Direct
T088,P004,C008,2024-08-15,42.5,175.00,7437.50,North America,Direct
T089,P005,C009,2024-08-18,25.0,220.00,5500.00,EMEA,Distributor
T090,P006,C010,2024-08-20,37.5,190.00,7125.00,LATAM,Direct
